,Country,EdLevel,CodingExperiance,Salary
13689,United States of America,Bachelor,7.0,162714.0
13691,United States of America,Bachelor,14.0,134000.0
13693,Germany,Bachelor,7.0,65053.0
13695,Germany,Masters,20.0,127972.0
13697,United States of America,Bachelor,6.0,80000.0
13698,India,Bachelor,5.0,23215.0
13699,France,Bachelor,4.0,69318.0
13704,India,Bachelor,10.0,18056.0
13711,United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,62820.0
13713,United States of America,Bachelor,7.0,160000.0
13714,Poland,Masters,14.0,33300.0
13716,United States of America,PostGrad,8.0,100000.0
13719,United States of America,Bachelor,5.0,85000.0
13720,United States of America,Bachelor,7.0,117505.0
13724,United Kingdom of Great Britain and Northern Ireland,Bachelor,12.0,57794.0
13728,United States of America,Bachelor,7.0,90000.0
13729,United States of America,less than bachelor's,11.0,90000.0
13730,United States of America,Bachelor,10.0,100000.0
13731,France,Masters,10.0,58654.0
13732,United States of America,Masters,1.0,140000.0
13743,United States of America,Bachelor,10.0,70000.0
13745,Germany,less than bachelor's,5.0,58654.0
13748,Brazil,less than bachelor's,2.0,12468.0
13749,Brazil,Bachelor,20.0,19464.0
13751,Canada,Bachelor,11.0,62194.0
13754,Brazil,Bachelor,7.0,45120.0
13755,United States of America,less than bachelor's,4.0,110000.0
13758,Canada,less than bachelor's,32.0,117126.0
13760,United States of America,Bachelor,3.0,160000.0
13761,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,20.0,84178.0
13765,United States of America,Masters,5.0,88800.0
13766,United States of America,Masters,12.0,165000.0
13769,United States of America,Masters,2.0,85000.0
13772,United States of America,Masters,8.0,150000.0
13779,Brazil,Bachelor,2.0,36000.0
13783,United States of America,Bachelor,6.0,155000.0
13787,India,Bachelor,11.0,46430.0
13788,United States of America,less than bachelor's,0.5,70000.0
13789,United States of America,Bachelor,2.0,84000.0
13793,United States of America,less than bachelor's,16.0,110000.0
13800,United States of America,less than bachelor's,0.5,70000.0
13803,United Kingdom of Great Britain and Northern Ireland,Masters,5.0,51512.0
13805,Poland,Bachelor,4.0,41628.0
13806,Germany,Masters,6.0,82116.0
13807,United States of America,Bachelor,18.0,170000.0
13810,United States of America,Masters,12.0,100000.0
13811,United States of America,Bachelor,18.0,175000.0
13812,Germany,Bachelor,13.0,73584.0
13815,Canada,Bachelor,20.0,167881.0
13817,Canada,Bachelor,12.0,71837.0
13818,United States of America,Bachelor,8.0,85000.0
13819,United States of America,less than bachelor's,10.0,155000.0
13823,Brazil,Bachelor,2.0,41547.0
13825,United States of America,Masters,2.0,70000.0
13827,India,Bachelor,5.0,67066.0
13831,United States of America,less than bachelor's,4.0,80000.0
13832,Brazil,Bachelor,4.0,58584.0
13833,India,Bachelor,3.0,12188.0
13836,United States of America,Masters,11.0,140000.0
13843,United States of America,Bachelor,5.0,115000.0
13846,Brazil,less than bachelor's,3.0,21324.0
13855,Brazil,less than bachelor's,11.0,110000.0
13856,United States of America,less than bachelor's,0.5,52000.0
13862,United States of America,Bachelor,25.0,120000.0
13870,Germany,PostGrad,30.0,102372.0
13874,United States of America,less than bachelor's,12.0,110000.0
13879,Poland,less than bachelor's,6.0,33300.0
13883,United States of America,less than bachelor's,10.0,150000.0
13890,Netherlands,Masters,3.0,42657.0
13893,Canada,less than bachelor's,15.0,81207.0
13904,Italy,Bachelor,17.0,58654.0
13917,Canada,less than bachelor's,4.0,70276.0
13918,United States of America,Bachelor,3.0,90000.0
13926,United States of America,Masters,5.0,165000.0
13929,United States of America,Bachelor,8.0,165000.0
13932,Sweden,less than bachelor's,8.0,68136.0
13934,United States of America,Masters,34.0,175000.0
13938,United States of America,Bachelor,9.0,120000.0
13939,Germany,less than bachelor's,7.0,53109.0
13944,Germany,less than bachelor's,0.5,36472.0
13949,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,8.0,90460.0
13963,United States of America,Bachelor,0.5,25000.0
13969,United States of America,PostGrad,2.0,75000.0
13980,United States of America,Bachelor,2.0,95000.0
13981,Canada,Bachelor,7.0,117126.0
13982,United States of America,PostGrad,2.0,90000.0
13988,France,Masters,2.0,31992.0
13992,United States of America,less than bachelor's,2.0,100000.0
13993,Italy,less than bachelor's,4.0,47990.0
13998,Canada,Bachelor,11.0,105414.0
14001,Netherlands,Masters,25.0,83184.0
14002,United States of America,Bachelor,3.0,120000.0
14004,United States of America,Bachelor,3.0,95000.0
14008,United States of America,Bachelor,6.0,136500.0
14010,Germany,Bachelor,8.0,47350.0
14011,United States of America,Bachelor,0.5,120000.0
14012,Poland,Masters,5.0,34968.0
14014,United States of America,less than bachelor's,11.0,80000.0
14018,United States of America,Bachelor,9.0,104000.0
14019,Sweden,less than bachelor's,9.0,60948.0
14028,Brazil,Bachelor,5.0,12464.0
14034,France,Masters,2.0,51189.0
14045,United Kingdom of Great Britain and Northern Ireland,PostGrad,10.0,50256.0
14050,United States of America,Bachelor,15.0,110000.0
14053,Sweden,less than bachelor's,6.0,46320.0
14058,United States of America,Bachelor,9.0,140000.0
14061,United States of America,less than bachelor's,27.0,170000.0
14063,United States of America,Masters,18.0,100000.0
14064,United States of America,less than bachelor's,8.0,175000.0
14068,Poland,Masters,8.0,43008.0
14069,United States of America,Masters,5.0,135000.0
14070,United States of America,Bachelor,23.0,143800.0
14071,Spain,PostGrad,6.0,43191.0
14075,United States of America,Bachelor,0.5,80000.0
14076,United States of America,Bachelor,5.0,120000.0
14079,United States of America,Bachelor,3.0,117000.0
14091,United States of America,Bachelor,6.0,95000.0
14093,United States of America,PostGrad,8.0,78000.0
14102,United Kingdom of Great Britain and Northern Ireland,PostGrad,15.0,81666.0
14103,Germany,Masters,14.0,76783.0
14104,Canada,Bachelor,8.0,156168.0
14106,Brazil,Bachelor,12.0,65592.0
14108,Brazil,less than bachelor's,3.0,62320.0
14110,Poland,Bachelor,2.0,27756.0
14117,United States of America,less than bachelor's,6.0,154000.0
14119,France,less than bachelor's,14.0,78916.0
14120,United States of America,Bachelor,10.0,143000.0
14122,Germany,PostGrad,4.0,134445.0
14124,Canada,Masters,9.0,109318.0
14126,Canada,less than bachelor's,8.0,60812.0
14127,Spain,less than bachelor's,4.0,24528.0
14128,United States of America,Masters,10.0,120000.0
14141,United States of America,Masters,5.0,108000.0
14142,United States of America,Bachelor,1.0,63800.0
14145,United Kingdom of Great Britain and Northern Ireland,Masters,14.0,113075.0
14147,United States of America,Bachelor,10.0,170000.0
14148,United States of America,Bachelor,2.0,54500.0
14151,Spain,Masters,4.0,42657.0
14155,Netherlands,Masters,2.0,31992.0
14160,United States of America,Bachelor,5.0,133700.0
14161,United Kingdom of Great Britain and Northern Ireland,PostGrad,37.0,80409.0
14166,United States of America,Bachelor,8.0,75000.0
14173,France,PostGrad,14.0,101312.0
14174,Germany,less than bachelor's,12.0,66120.0
14181,Netherlands,Masters,12.0,138637.0
14183,Brazil,PostGrad,0.5,12468.0
14185,United States of America,Bachelor,5.0,101000.0
14190,United States of America,Masters,8.0,114400.0
14192,United Kingdom of Great Britain and Northern Ireland,Masters,6.0,62820.0
14193,United States of America,Bachelor,22.0,130000.0
14194,Netherlands,Masters,15.0,85315.0
14195,Brazil,Bachelor,10.0,33648.0
14196,United States of America,Bachelor,5.0,95000.0
14200,Canada,Bachelor,17.0,97605.0
14202,Canada,Bachelor,3.0,43727.0
14203,France,Masters,0.5,26880.0
14205,United States of America,Bachelor,4.0,110000.0
14207,United States of America,Bachelor,3.0,82000.0
14209,Germany,Masters,25.0,90647.0
14211,Germany,Masters,10.0,90647.0
14212,Germany,PostGrad,15.0,74651.0
14214,United States of America,Bachelor,9.0,160000.0
14217,United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,45230.0
14226,France,Masters,7.0,53322.0
14227,Sweden,less than bachelor's,10.0,55868.0
14231,Brazil,less than bachelor's,3.0,19944.0
14234,Canada,Bachelor,22.0,78084.0
14236,United States of America,less than bachelor's,5.0,85000.0
14238,United States of America,Bachelor,2.0,70000.0
14239,United States of America,Bachelor,10.0,127000.0
14240,United States of America,less than bachelor's,23.0,170000.0
14242,Sweden,Masters,10.0,121894.0
14253,United States of America,PostGrad,32.0,89000.0
14256,United Kingdom of Great Britain and Northern Ireland,Bachelor,10.0,74755.0
14259,United States of America,Bachelor,2.0,85000.0
14261,United States of America,Bachelor,16.0,140000.0
14262,Spain,Masters,21.0,120507.0
14266,United States of America,Bachelor,15.0,120000.0
14270,Canada,less than bachelor's,4.0,61218.0
14271,United States of America,Bachelor,15.0,108000.0
14272,United States of America,Bachelor,7.0,105930.0
14275,Brazil,less than bachelor's,5.0,70629.0
14276,United States of America,Bachelor,1.0,72000.0
14277,India,Bachelor,4.0,17411.0
14278,United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,106793.0
14284,Germany,Bachelor,3.0,57588.0
14292,United States of America,Bachelor,10.0,100000.0
14294,Netherlands,Bachelor,3.0,48523.0
14313,Italy,PostGrad,15.0,37325.0
14315,United States of America,PostGrad,5.0,135000.0
14316,Poland,Bachelor,2.0,36072.0
14320,United States of America,Bachelor,17.0,63000.0
14325,Spain,Bachelor,8.0,85315.0
14329,United Kingdom of Great Britain and Northern Ireland,Bachelor,14.0,87948.0
14332,Netherlands,Masters,1.0,30708.0
14336,United States of America,Bachelor,8.0,150000.0
14342,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,16.0,81666.0
14343,Germany,Masters,19.0,69318.0
14351,United States of America,Masters,4.0,50000.0
14355,United States of America,less than bachelor's,7.0,30000.0
14357,United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,66589.0
14366,Germany,Masters,10.0,68252.0
14367,United States of America,Bachelor,16.0,162000.0
14368,Germany,less than bachelor's,20.0,57588.0
14373,India,Bachelor,5.0,67066.0
14374,United Kingdom of Great Britain and Northern Ireland,PostGrad,21.0,75384.0
14375,Canada,Bachelor,6.0,54659.0
14377,United States of America,Masters,11.0,135000.0
14378,United States of America,Bachelor,6.0,98888.0
14384,United States of America,Bachelor,5.0,95000.0
14386,Canada,less than bachelor's,12.0,101509.0
14391,Brazil,PostGrad,15.0,32412.0
14399,Germany,Masters,3.0,67186.0
14401,United States of America,Bachelor,3.0,130000.0
14403,United States of America,Bachelor,11.0,135000.0
14407,Brazil,less than bachelor's,1.0,21684.0
14413,Spain,Masters,16.0,90647.0
14414,Netherlands,Masters,4.0,55455.0
14416,Germany,Masters,12.0,79983.0
14427,United States of America,PostGrad,12.0,170000.0
14429,United States of America,Masters,9.0,160000.0
14436,Canada,Bachelor,13.0,68714.0
14439,United States of America,Bachelor,7.0,80000.0
14445,United States of America,less than bachelor's,12.0,148764.0
14447,Germany,Bachelor,6.0,44796.0
14451,United States of America,Bachelor,6.0,120000.0
14455,Italy,Bachelor,4.0,29860.0
14456,Italy,Masters,4.0,40525.0
14457,United States of America,Bachelor,1.0,60000.0
14458,Brazil,PostGrad,20.0,37392.0
14461,United States of America,Bachelor,25.0,162000.0
14466,Netherlands,Bachelor,4.0,31992.0
14468,United States of America,Bachelor,6.0,160000.0
14470,United States of America,Bachelor,15.0,110000.0
14472,United States of America,Bachelor,15.0,97000.0
14480,Brazil,Bachelor,11.0,39888.0
14484,France,Masters,3.0,45857.0
14487,United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,43974.0
14491,United Kingdom of Great Britain and Northern Ireland,Bachelor,6.0,100511.0
14496,United States of America,Bachelor,10.0,90000.0
14497,United Kingdom of Great Britain and Northern Ireland,Bachelor,10.0,113075.0
14500,United States of America,Bachelor,6.0,73000.0
14501,United States of America,less than bachelor's,8.0,85000.0
14502,United States of America,Bachelor,2.0,63000.0
14506,Germany,less than bachelor's,14.0,85315.0
14507,India,Bachelor,3.0,20636.0
14510,United States of America,Bachelor,14.0,109250.0
14514,United States of America,less than bachelor's,4.0,110000.0
14515,Canada,Bachelor,15.0,117126.0
14520,Canada,Bachelor,5.0,75742.0
14523,United States of America,Masters,3.0,100000.0
14527,United States of America,less than bachelor's,3.0,125000.0
14528,United States of America,Bachelor,33.0,104817.0
14529,United States of America,Bachelor,10.0,106000.0
14531,Germany,Masters,6.0,69318.0
14532,United States of America,PostGrad,39.0,140000.0
14536,Poland,less than bachelor's,10.0,166500.0
14537,Canada,Bachelor,1.0,101509.0
14543,United States of America,Bachelor,7.0,78000.0
14544,United States of America,Bachelor,8.0,163000.0
14552,United States of America,Bachelor,5.0,78000.0
14555,United States of America,Masters,6.0,120000.0
14556,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,3.0,75384.0
14561,United States of America,less than bachelor's,20.0,150000.0
14565,United States of America,less than bachelor's,20.0,122000.0
14570,United States of America,Bachelor,17.0,121000.0
14583,Germany,less than bachelor's,1.0,31992.0
14584,Canada,Bachelor,5.0,94482.0
14587,Poland,Masters,3.0,41628.0
14588,India,Bachelor,4.0,15477.0
14594,United States of America,less than bachelor's,27.0,132000.0
14605,United States of America,less than bachelor's,14.0,55000.0
14607,United States of America,Bachelor,22.0,140000.0
14609,Poland,Masters,7.0,13872.0
14610,Netherlands,Bachelor,1.0,36468.0
14612,Brazil,Bachelor,3.0,57336.0
14616,United States of America,less than bachelor's,6.0,45000.0
14619,United States of America,less than bachelor's,3.0,75000.0
14622,India,Bachelor,2.0,10963.0
14624,United States of America,Bachelor,4.0,80000.0
14637,United States of America,PostGrad,19.0,170000.0
14641,United States of America,Bachelor,0.5,60000.0
14642,Italy,PostGrad,8.0,149301.0
14643,Netherlands,Bachelor,10.0,79983.0
14649,Sweden,Masters,17.0,79236.0
14651,United States of America,Bachelor,8.0,142500.0
14660,United States of America,Bachelor,12.0,107000.0
14661,United Kingdom of Great Britain and Northern Ireland,Bachelor,25.0,75384.0
14662,United Kingdom of Great Britain and Northern Ireland,Masters,6.0,85435.0
14663,Germany,PostGrad,5.0,76783.0
14668,Germany,Masters,14.0,95979.0
14669,Germany,PostGrad,17.0,76783.0
14674,Poland,Masters,0.5,33720.0
14680,France,less than bachelor's,34.0,90647.0
14691,United States of America,Bachelor,2.0,120000.0
14696,France,less than bachelor's,6.0,42657.0
14699,United States of America,less than bachelor's,2.0,60000.0
14702,United States of America,Bachelor,14.0,95000.0
14712,United States of America,Bachelor,1.0,85000.0
14716,Canada,Bachelor,12.0,101509.0
14719,Netherlands,less than bachelor's,15.0,51192.0
14722,Spain,less than bachelor's,1.0,28794.0
14725,Germany,Masters,8.0,90647.0
14727,Australia,Masters,6.0,127388.0
14728,United States of America,Bachelor,7.0,129250.0
14730,Spain,Bachelor,4.0,33593.0
14733,Germany,Masters,3.0,67186.0
14735,Brazil,Bachelor,22.0,41136.0
14740,Sweden,Masters,18.0,99547.0
14750,Spain,less than bachelor's,10.0,53322.0
14755,United States of America,Bachelor,1.0,60000.0
14757,United Kingdom of Great Britain and Northern Ireland,Bachelor,36.0,81666.0
14758,Brazil,Bachelor,23.0,34896.0
14761,United Kingdom of Great Britain and Northern Ireland,Masters,5.0,69102.0
14762,Germany,less than bachelor's,20.0,51192.0
14763,United States of America,Bachelor,6.0,160000.0
14766,United States of America,Bachelor,2.0,110000.0
14767,United States of America,Bachelor,4.0,139000.0
14774,United States of America,Bachelor,4.0,125000.0
14780,Brazil,Bachelor,0.5,19944.0
14787,Canada,less than bachelor's,1.0,32795.0
14792,United States of America,Masters,7.0,85000.0
14793,France,PostGrad,13.0,95979.0
14812,Germany,Masters,10.0,119441.0
14816,United States of America,less than bachelor's,48.0,140000.0
14817,United States of America,Bachelor,18.0,80000.0
14818,United States of America,PostGrad,30.0,160000.0
14820,United States of America,Bachelor,18.0,165000.0
14821,United States of America,less than bachelor's,10.0,42500.0
14828,United States of America,Bachelor,5.0,105000.0
14833,United States of America,Bachelor,3.0,100000.0
14842,Germany,Bachelor,7.0,83182.0
14844,India,Bachelor,6.0,15477.0
14849,Germany,PostGrad,17.0,127972.0
14852,Canada,PostGrad,15.0,117126.0
14854,Brazil,Bachelor,4.0,42372.0
14857,United States of America,Bachelor,1.0,115000.0
14861,Italy,less than bachelor's,15.0,20472.0
14862,Brazil,less than bachelor's,4.0,58584.0
14869,Australia,Masters,32.0,97664.0
14873,United States of America,Masters,38.0,175000.0
14875,United States of America,Bachelor,14.0,175000.0
14881,Germany,Bachelor,3.0,61907.0
14890,Sweden,Masters,8.0,69480.0
14893,France,Masters,2.0,35192.0
14896,Netherlands,Bachelor,7.0,57588.0
14898,Germany,less than bachelor's,7.0,58654.0
14902,United States of America,Bachelor,6.0,168000.0
14904,Netherlands,Bachelor,10.0,35832.0
14906,United States of America,Bachelor,18.0,130000.0
14907,Brazil,less than bachelor's,5.0,19944.0
14921,United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,119357.0
14924,Spain,less than bachelor's,3.0,17280.0
14925,United States of America,Masters,11.0,150000.0
14926,Sweden,Masters,6.0,70089.0
14927,United States of America,Bachelor,3.0,130000.0
14931,Canada,Bachelor,13.0,101509.0
14934,Canada,Bachelor,5.0,93701.0
14937,Brazil,less than bachelor's,3.0,23676.0
14938,United Kingdom of Great Britain and Northern Ireland,Masters,9.0,72871.0
14941,United States of America,Masters,22.0,146000.0
14942,United Kingdom of Great Britain and Northern Ireland,Masters,15.0,148254.0
14943,Italy,less than bachelor's,20.0,38392.0
14944,Poland,Bachelor,2.0,40512.0
14949,United States of America,Bachelor,6.0,80000.0
14950,United States of America,Bachelor,1.0,94000.0
14951,France,Masters,3.0,44790.0
14955,Canada,Masters,15.0,109318.0
14958,Spain,Masters,1.0,30708.0
14959,France,Masters,8.0,53322.0
14961,Poland,less than bachelor's,8.0,55500.0
14969,Italy,less than bachelor's,11.0,53322.0
14971,Germany,Bachelor,10.0,97046.0
14972,United States of America,Masters,13.0,68000.0
14976,United States of America,Bachelor,3.0,84000.0
14982,Spain,Masters,0.5,21329.0
14983,United States of America,PostGrad,7.0,175000.0
14985,United States of America,less than bachelor's,2.0,85000.0
14988,United States of America,Bachelor,4.0,130000.0
14989,United States of America,less than bachelor's,6.0,54000.0
14990,Spain,less than bachelor's,0.5,29860.0
14993,Germany,Masters,22.0,127972.0
14997,Poland,Bachelor,1.0,15540.0
14999,Brazil,less than bachelor's,7.0,19944.0
15001,United States of America,Bachelor,7.0,150000.0
15002,Canada,less than bachelor's,1.0,37480.0
15011,United States of America,Bachelor,11.0,125000.0
15036,United Kingdom of Great Britain and Northern Ireland,Masters,28.0,144485.0
15038,United States of America,Bachelor,3.0,100000.0
15040,Canada,Bachelor,19.0,83550.0
15049,United Kingdom of Great Britain and Northern Ireland,Bachelor,10.0,129409.0
15050,Canada,Bachelor,6.0,85893.0
15052,Germany,PostGrad,9.0,63986.0
15053,United States of America,Masters,8.0,140000.0
15067,United States of America,Bachelor,14.0,92000.0
15071,United States of America,Bachelor,34.0,140000.0
15075,United States of America,Masters,3.0,116000.0
15077,United States of America,less than bachelor's,3.0,104000.0
15078,Australia,Bachelor,14.0,134465.0
15084,Spain,less than bachelor's,17.0,108350.0
15097,United States of America,Bachelor,2.0,52000.0
15098,United States of America,less than bachelor's,8.0,150000.0
15099,Canada,Bachelor,5.0,74180.0
15101,United States of America,Bachelor,3.0,125000.0
15110,United States of America,Bachelor,9.0,150000.0
15112,Spain,Bachelor,22.0,47990.0
15117,United States of America,Bachelor,6.0,130000.0
15138,United Kingdom of Great Britain and Northern Ireland,Masters,23.0,144485.0
15141,United States of America,PostGrad,5.0,35000.0
15142,Germany,less than bachelor's,20.0,67825.0
15151,United States of America,less than bachelor's,1.0,60000.0
15152,Germany,less than bachelor's,9.0,38388.0
15159,United States of America,less than bachelor's,1.0,45000.0
15162,Australia,less than bachelor's,0.5,63694.0
15171,Spain,less than bachelor's,2.0,45857.0
15172,Canada,Bachelor,12.0,171785.0
15174,United States of America,Bachelor,20.0,150000.0
15175,Canada,Masters,10.0,75742.0
15179,United States of America,Bachelor,1.0,106233.0
15184,United States of America,less than bachelor's,3.0,95000.0
15185,United States of America,PostGrad,11.0,120000.0
15190,United States of America,less than bachelor's,8.0,140000.0
15194,United States of America,Bachelor,3.0,76100.0
15198,United States of America,less than bachelor's,1.0,100000.0
15202,United States of America,Bachelor,7.0,160000.0
15212,United States of America,Bachelor,6.0,100000.0
15222,United States of America,Bachelor,1.0,86633.0
15224,United Kingdom of Great Britain and Northern Ireland,Bachelor,1.0,38948.0
15225,Australia,Masters,16.0,162750.0
15228,Brazil,Bachelor,5.0,27420.0
15230,United States of America,Masters,10.0,135000.0
15235,United States of America,Masters,24.0,150000.0
15240,United States of America,Masters,35.0,125000.0
15241,Australia,Bachelor,31.0,70771.0
15243,United States of America,Bachelor,7.0,150000.0
15244,Spain,less than bachelor's,12.0,53322.0
15250,Australia,less than bachelor's,5.0,108988.0
15255,United States of America,Bachelor,7.0,120000.0
15266,United States of America,Bachelor,1.0,120000.0
15272,United Kingdom of Great Britain and Northern Ireland,Masters,3.0,50256.0
15274,Brazil,less than bachelor's,4.0,11712.0
15275,United States of America,Masters,2.0,60000.0
15277,United States of America,Bachelor,16.0,122000.0
15278,United States of America,Masters,14.0,130000.0
15280,United Kingdom of Great Britain and Northern Ireland,Bachelor,14.0,87948.0
15286,Germany,Bachelor,11.0,79983.0
15287,Italy,Masters,3.0,40525.0
15295,United Kingdom of Great Britain and Northern Ireland,PostGrad,10.0,56538.0
15299,Italy,Bachelor,14.0,47990.0
15302,United States of America,PostGrad,30.0,107000.0
15303,Canada,Masters,14.0,140551.0
15307,Germany,less than bachelor's,2.0,60792.0
15309,Poland,less than bachelor's,3.0,15264.0
15316,Australia,Bachelor,17.0,141542.0
15324,United States of America,Masters,3.0,87000.0
15335,Germany,less than bachelor's,15.0,68460.0
15339,United States of America,Bachelor,6.0,125000.0
15352,United States of America,Bachelor,1.0,90550.0
15360,United States of America,Masters,10.0,126000.0
15361,Brazil,Bachelor,2.0,19944.0
15364,United States of America,Bachelor,5.0,92949.0
15373,United States of America,less than bachelor's,17.0,130000.0
15380,United States of America,Masters,10.0,84000.0
15385,United States of America,Masters,8.0,130000.0
15386,Italy,less than bachelor's,10.0,44790.0
15389,Brazil,Bachelor,2.0,12468.0
15391,Germany,Bachelor,6.0,74651.0
15395,United States of America,less than bachelor's,20.0,165000.0
15406,Canada,less than bachelor's,17.0,156168.0
15412,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,17.0,65332.0
15415,Australia,Masters,5.0,99080.0
15417,United States of America,Masters,1.0,108000.0
15418,Australia,Bachelor,7.0,77848.0
15431,United States of America,Bachelor,22.0,170000.0
15436,United States of America,Bachelor,9.0,105000.0
15438,Netherlands,less than bachelor's,12.0,74651.0
15450,United States of America,less than bachelor's,1.0,67500.0
15454,United States of America,Masters,8.0,175000.0
15460,United States of America,Bachelor,18.0,92000.0
15466,United States of America,less than bachelor's,23.0,150000.0
15467,United States of America,Bachelor,4.0,105000.0
15468,Australia,Bachelor,27.0,56617.0
15474,United States of America,Masters,30.0,144000.0
15476,United States of America,Masters,0.5,149000.0
15478,Brazil,less than bachelor's,10.0,33000.0
15480,United States of America,less than bachelor's,1.0,140000.0
15481,Germany,Masters,15.0,149301.0
15482,Brazil,less than bachelor's,7.0,26172.0
15485,United States of America,less than bachelor's,3.0,75000.0
15495,United States of America,Masters,4.0,105000.0
15508,United States of America,PostGrad,10.0,120000.0
15518,United States of America,PostGrad,5.0,120000.0
15522,United States of America,Masters,12.0,171000.0
15526,United States of America,Bachelor,3.0,105000.0
15528,United States of America,PostGrad,6.0,140000.0
15529,Germany,less than bachelor's,8.0,63986.0
15534,United States of America,Bachelor,8.0,145000.0
15537,France,PostGrad,18.0,149301.0
15538,United States of America,Masters,8.0,162000.0
15539,Brazil,less than bachelor's,7.0,29498.0
15541,Australia,Masters,14.0,155696.0
15542,Australia,Bachelor,3.0,101203.0
15545,Brazil,Masters,6.0,21192.0
15547,United Kingdom of Great Britain and Northern Ireland,Masters,10.0,135690.0
15550,United States of America,less than bachelor's,5.0,175000.0
15552,Australia,PostGrad,10.0,95541.0
15566,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,6.0,70358.0
15567,Canada,Bachelor,8.0,123373.0
15574,Canada,Bachelor,15.0,93701.0
15589,Canada,less than bachelor's,12.0,113222.0
15597,United States of America,PostGrad,28.0,140000.0
15598,United States of America,Bachelor,15.0,140000.0
15600,Australia,less than bachelor's,6.0,35386.0
15601,Canada,Bachelor,10.0,171785.0
15606,United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,26384.0
15609,Australia,PostGrad,28.0,92002.0
15613,United States of America,Masters,6.0,90000.0
15616,United States of America,Bachelor,30.0,165000.0
15622,Canada,less than bachelor's,18.0,76522.0
15625,India,Masters,3.0,21204.0
15629,Australia,PostGrad,5.0,92002.0
15633,Canada,Masters,6.0,93701.0
15636,United States of America,Masters,5.0,136000.0
15637,United States of America,Bachelor,3.0,110000.0
15645,Canada,Bachelor,5.0,148360.0
15646,Brazil,Bachelor,15.0,32412.0
15654,Australia,Bachelor,16.0,103326.0
15656,Sweden,Bachelor,5.0,60948.0
15662,Canada,PostGrad,2.0,67230.0
15664,United States of America,Bachelor,3.0,160000.0
15667,Germany,less than bachelor's,5.0,44790.0
15668,United States of America,less than bachelor's,7.0,168000.0
15669,India,Masters,4.0,12820.0
15670,United States of America,Bachelor,10.0,120000.0
15671,United States of America,Bachelor,4.0,79000.0
15674,United States of America,Bachelor,24.0,85000.0
15678,United States of America,Masters,12.0,104000.0
15682,United States of America,Bachelor,3.0,71879.0
15690,United States of America,Masters,23.0,115000.0
15693,United States of America,Masters,20.0,140000.0
15703,United States of America,less than bachelor's,2.0,60000.0
15707,United States of America,Bachelor,8.0,130000.0
15709,United States of America,less than bachelor's,5.0,125000.0
15713,United States of America,Masters,27.0,140000.0
15714,Canada,less than bachelor's,4.0,140551.0
15721,Canada,less than bachelor's,4.0,62467.0
15729,United States of America,Masters,2.0,157000.0
15733,United Kingdom of Great Britain and Northern Ireland,Masters,8.0,87948.0
15735,Brazil,PostGrad,30.0,49860.0
15736,United States of America,Bachelor,0.5,80000.0
15737,United States of America,Bachelor,6.0,150000.0
15745,United States of America,Masters,4.0,170000.0
15748,United States of America,Bachelor,6.0,145000.0
15759,Canada,Bachelor,2.0,57001.0
15761,United States of America,Masters,12.0,110000.0
15770,United States of America,less than bachelor's,15.0,105000.0
15781,Canada,Bachelor,25.0,70276.0
15782,Brazil,Bachelor,1.0,13716.0
15786,France,Bachelor,21.0,63986.0
15793,United States of America,less than bachelor's,3.0,92000.0
15795,Brazil,Masters,1.0,56521.0
15801,United States of America,Bachelor,9.0,160000.0
15804,Brazil,PostGrad,12.0,47779.0
15810,United States of America,PostGrad,10.0,140000.0
15814,Canada,Bachelor,14.0,93701.0
15819,Canada,Bachelor,27.0,93701.0
15820,Australia,Bachelor,6.0,59165.0
15822,United States of America,less than bachelor's,12.0,145000.0
15828,United States of America,Bachelor,4.0,156000.0
15829,United States of America,less than bachelor's,4.0,65000.0
15835,United States of America,Bachelor,5.0,135000.0
15842,Australia,Masters,25.0,92002.0
15850,Australia,Bachelor,9.0,92002.0
15851,United States of America,Masters,7.0,100000.0
15856,United States of America,Bachelor,11.0,160000.0
15861,Brazil,Bachelor,2.0,14952.0
15864,Australia,less than bachelor's,18.0,100495.0
15869,Australia,less than bachelor's,1.0,44940.0
15870,United Kingdom of Great Britain and Northern Ireland,Masters,11.0,131921.0
15873,Brazil,Bachelor,6.0,74784.0
15874,United States of America,Bachelor,2.0,130000.0
15875,United States of America,Bachelor,3.0,78000.0
15876,United States of America,PostGrad,6.0,130000.0
15877,Australia,Bachelor,8.0,155696.0
15885,India,Masters,20.0,77383.0
15888,United States of America,Bachelor,3.0,89000.0
15891,India,Bachelor,15.0,55404.0
15894,United States of America,Masters,31.0,78000.0
15895,United States of America,Bachelor,37.0,135000.0
